t,x_t,y_t,v_t,t_to_goal,v_at_goal,d_to_goal,front_v,front_d,psi_t
392.0,-17.335317762640496,-13.872718574998693,5.698926862138169,22.0,4.7874079719614455,11.5,8.961597607569757,45.2,-0.07019028280914338
393.0,-16.850003350386007,-13.90464650467293,5.669119340779482,21.0,4.7874079719614455,11.0,8.956913845739502,45.7,-0.06415362383263988
394.0,-16.363932594843572,-13.93546367026447,5.640430803582294,20.0,4.7874079719614455,10.5,8.955100204911162,46.2,-0.060503958986314825
395.0,-15.87712159725579,-13.96520999981938,5.611738533645345,19.0,4.7874079719614455,10.0,25.0,50.5,-0.05785335118166666
396.0,-15.38958645886527,-13.993925421383727,5.58192905186012,18.0,4.7874079719614455,9.5,25.0,50.0,-0.05567665999725423
397.0,-14.901343280914617,-14.021649863003585,5.549506228485558,17.0,4.7874079719614455,9.0,25.0,49.5,-0.053729805913283774
398.0,-14.41240816464644,-14.048423252725012,5.513386640713674,16.0,4.7874079719614455,8.5,25.0,49.0,-0.051885799185333634
399.0,-13.432526522127938,-14.099276588656867,5.47287164293116,15.0,4.7874079719614455,7.5,25.0,48.0,-0.05007762318449206
400.0,-12.941612198362836,-14.123436390959432,5.428154706712034,14.0,4.7874079719614455,7.0,25.0,47.5,-0.04827616239722547
401.0,-12.450070341250619,-14.146804853547842,5.380253795129,13.0,4.7874079719614455,6.5,25.0,47.0,-0.04648113424941735
402.0,-11.95791705203392,-14.16942190446817,5.330489948400616,12.0,4.7874079719614455,6.0,25.0,46.5,-0.04471616767437697
403.0,-11.465168431955338,-14.191327471766483,5.279274784475612,11.0,4.7874079719614455,5.5,25.0,46.0,-0.04302334007382921
404.0,-10.971840582257476,-14.21256148348885,5.226811574947006,10.0,4.7874079719614455,5.0,25.0,45.5,-0.041454570904548446
405.0,-10.477949604182939,-14.23316386768134,5.173203836115489,9.0,4.7874079719614455,4.5,25.0,45.0,-0.04005946375316321
406.0,-9.983511598974346,-14.25317455239002,5.118955793909535,8.0,4.7874079719614455,4.0,25.0,44.5,-0.03887169778898649
407.0,-9.488542667874288,-14.272633465660961,5.065873281083924,7.0,4.7874079719614455,3.5,25.0,44.0,-0.037897756595293076
408.0,-8.993058912125385,-14.291580535540225,5.015261314228801,6.0,4.7874079719614455,3.0,25.0,43.5,-0.03711128407067354
409.0,-8.497076432970243,-14.310055690073886,4.967923407219558,5.0,4.7874079719614455,2.5,25.0,43.0,-0.036453622108414525
410.0,-8.000611331651452,-14.328098857308015,4.92405550435817,4.0,4.7874079719614455,2.0,25.0,42.5,-0.035837718588181425
411.0,-7.503679709411634,-14.345749965288672,4.883835366799335,3.0,4.7874079719614455,1.5,25.0,42.0,-0.03515032462263569
412.0,-7.006297667493402,-14.363048942061932,4.84774875999159,2.0,4.7874079719614455,1.0,25.0,41.5,-0.03424622263276102
413.0,-6.508481307139344,-14.380035715673854,4.815710649530348,1.0,4.7874079719614455,0.5,25.0,41.0,-0.03292569519818852
414.0,-6.0102467295920805,-14.396750214170526,4.7874079719614455,0.0,4.7874079719614455,0.0,25.0,40.5,-0.03292569519818852
426.0,-0.5066689972058924,-14.574058961202116,4.762514370581994,55.0,7.296305443167795,34.5,25.0,35.0,-0.03512814786658131
427.0,-0.004671710263441042,-14.59062054590897,4.798022330085595,54.0,7.296305443167795,34.0,25.0,34.5,-0.03494447471606833
428.0,0.4975344777183253,-14.607428920099453,4.840446170550812,53.0,7.296305443167795,33.5,25.0,34.0,-0.034960991958558736
429.0,0.9999334654968132,-14.624524011819627,4.8900901627679625,52.0,7.296305443167795,33.0,25.0,33.5,-0.03516702208505387
430.0,1.502509151829404,-14.641945749115571,4.946640650987294,51.0,7.296305443167795,32.5,25.0,33.0,-0.03555302954856743
431.0,2.0052454354734977,-14.65973406003335,5.009688790733412,50.0,7.296305443167795,32.0,25.0,32.5,-0.036110543396339026
432.0,2.5081262151864863,-14.677928872619026,5.078607558179702,49.0,7.296305443167795,31.5,25.0,32.0,-0.03683208434766129
433.0,3.0111353897257622,-14.696570114918664,5.152657110656596,48.0,7.296305443167795,31.0,25.0,31.5,-0.03771109647844316
434.0,3.514256857848712,-14.715697714978347,5.23063678341366,47.0,7.296305443167795,30.5,25.0,31.0,-0.038741883534528905
435.0,4.017474518312741,-14.735351600844135,5.310995911314564,46.0,7.296305443167795,30.0,25.0,30.5,-0.03991954979170688
