t,x_t,y_t,v_t,t_to_goal,v_at_goal,d_to_goal
2673.0,950.02,986.1,5.32928935224951,42.0,4.168185816395425,22.982800022207986
2674.0,950.02,986.1,5.35123060613164,41.0,4.168185816395425,22.982800022207986
2675.0,950.62,986.06,5.383218553987939,40.0,4.168185816395425,22.38146816707304
2676.0,951.22,986.02,5.421263505862816,39.0,4.168185816395425,21.780136311938104
2677.0,951.82,985.99,5.464223275086771,38.0,4.168185816395425,21.17938678010306
2678.0,952.42,985.95,5.510247907308709,37.0,4.168185816395425,20.578054924968235
2679.0,953.02,985.91,5.558267715754613,36.0,4.168185816395425,19.97672306983329
2680.0,953.62,985.88,5.607356774809322,35.0,4.168185816395425,19.37597353799825
2681.0,954.22,985.84,5.655448434916545,34.0,4.168185816395425,18.77464168286331
2682.0,954.83,985.82,5.702614137393481,33.0,4.168185816395425,18.164313902076614
2683.0,955.43,985.78,5.748782479795179,32.0,4.168185816395425,17.562982046941784
2684.0,956.03,985.75,5.792102640665132,31.0,4.168185816395425,16.962232515106738
2685.0,956.64,985.7,5.8335022927911835,30.0,4.168185816395425,16.35018676518275
2686.0,957.24,985.68,5.872060285794075,29.0,4.168185816395425,15.74985352439058
2687.0,957.83,985.64,5.908705441972886,28.0,4.168185816395425,15.158499146711652
2688.0,958.43,985.6,5.940450656305463,27.0,4.168185816395425,14.557167291576828
2689.0,959.01,985.56,5.969373920270031,26.0,4.168185816395425,13.975789617426837
2690.0,959.6,985.51,5.9933327122728635,25.0,4.168185816395425,13.383674763703311
2691.0,960.18,985.47,6.012411246746184,24.0,4.168185816395425,12.802297089553441
2692.0,960.75,985.42,6.026533497791247,23.0,4.168185816395425,12.230108309516586
2693.0,961.32,985.39,6.034705709477472,22.0,4.168185816395425,11.659319381803325
2694.0,961.89,985.35,6.036842303721375,21.0,4.168185816395425,11.087917596716926
2695.0,962.44,985.31,6.0328494925698255,20.0,4.168185816395425,10.536464969558363
2696.0,963.0,985.27,6.021815756065608,19.0,4.168185816395425,9.975038215653692
2697.0,963.54,985.25,6.003551032514007,18.0,4.168185816395425,9.434667972209477
2698.0,964.08,985.2,5.978045249075988,17.0,4.168185816395425,8.892358097691154
2699.0,964.62,985.17,5.944295584844347,16.0,4.168185816395425,8.351525406371588
2700.0,965.14,985.13,5.903196761077848,15.0,4.168185816395425,7.829989213955397
2701.0,965.67,985.08,5.85384736733031,14.0,4.168185816395425,7.297635947787182
2702.0,966.7,985.01,5.795158410259378,13.0,4.168185816395425,6.2652050595657265
2703.0,967.2,984.97,5.727137155682584,12.0,4.168185816395425,5.76360761140635
2704.0,967.71,984.94,5.650884001640805,11.0,4.168185816395425,5.252726020428568
2705.0,968.21,984.89,5.563423586246153,10.0,4.168185816395425,4.750232239372515
2706.0,969.19,984.82,5.466762478835165,9.0,4.168185816395425,3.7677354200392266
2707.0,969.19,984.82,5.359923600201779,8.0,4.168185816395425,3.7677354200392266
2708.0,970.16,984.76,5.242094428756506,7.0,4.168185816395425,2.7958815215545627
2709.0,970.16,984.76,5.115196574912835,6.0,4.168185816395425,2.7958815215545627
2710.0,971.11,984.69,4.979395646059871,5.0,4.168185816395425,1.8433060652257325
