t,x_t,y_t,v_t,t_to_goal,v_at_goal,d_to_goal,front_v,front_d
1692.0,998.74,1017.3,4.354694133920314,27.0,2.6104290835033237,9.62157989670544,25,10.122479088160166
1693.0,998.74,1017.3,4.352559362030574,26.0,2.6104290835033237,9.62157989670544,25,10.122479088160166
1694.0,998.75,1016.7,4.3435115977743175,25.0,2.6104290835033237,9.021496569158431,25,9.522395760613158
1695.0,998.68,1016.2,4.324349315214949,24.0,2.6104290835033237,8.516620346703851,25,9.017519538158577
1696.0,998.68,1016.2,4.296209026572148,23.0,2.6104290835033237,8.516620346703851,25,9.017519538158577
1697.0,998.6,1015.5,4.261016897408411,22.0,2.6104290835033237,7.812063748551472,25,8.312962940006198
1698.0,998.58,1014.9,4.217775835674533,21.0,2.6104290835033237,7.211730507759305,25,7.712629699214031
1699.0,998.54,1014.4,4.167551799318156,20.0,2.6104290835033237,6.7101330595999205,25,7.211032251054647
1700.0,998.54,1014.4,4.113337452726192,19.0,2.6104290835033237,6.7101330595999205,25,7.211032251054647
1701.0,998.51,1013.9,4.054067833670275,18.0,2.6104290835033237,6.209233868145194,25,6.7101330595999205
1702.0,998.49,1013.4,3.989810271178318,17.0,2.6104290835033237,5.708834028017323,25,6.209733219472049
1703.0,998.46,1012.8,3.9224941045207444,16.0,2.6104290835033237,5.108084496182279,25,5.608983687637005
1704.0,998.46,1012.8,3.8521860027781627,15.0,2.6104290835033237,5.108084496182279,25,5.608983687637005
1705.0,998.43,1012.2,3.7778877696405964,14.0,2.6104290835033237,4.507334964347342,25,5.008234155802068
1706.0,998.4,1011.6,3.7015949265147854,13.0,2.6104290835033237,3.9065854325122977,25,4.407484623967024
1707.0,998.4,1011.6,3.6223093462596485,12.0,2.6104290835033237,3.9065854325122977,25,4.407484623967024
1708.0,998.42,1011.0,3.5410288053050345,11.0,2.6104290835033237,3.30625219172013,25,3.8071513831748565
1709.0,998.42,1011.0,3.458688913446828,10.0,2.6104290835033237,3.30625219172013,25,3.8071513831748565
1710.0,998.4,1010.4,3.374416690333309,9.0,2.6104290835033237,2.7059189509279626,25,3.206818142382689
1711.0,998.34,1009.8,3.2891473059137986,8.0,2.6104290835033237,2.1029264136606916,25,2.603825605115418
1712.0,998.34,1009.8,3.2049377529056624,7.0,2.6104290835033237,2.1029264136606916,25,2.603825605115418
1713.0,998.31,1009.1,3.1206680374560833,6.0,2.6104290835033237,1.4022838514366214,25,1.9031830428913477
1714.0,998.31,1009.1,3.035461085238946,5.0,2.6104290835033237,1.4022838514366214,25,1.9031830428913477
1715.0,998.31,1009.1,2.952191389459701,4.0,2.6104290835033237,1.4022838514366214,25,1.9031830428913477
1716.0,998.27,1008.4,2.867983612226541,3.0,2.6104290835033237,0.7011419257182538,25,1.2020411171729801
1717.0,998.27,1008.4,2.7837762122699448,2.0,2.6104290835033237,0.7011419257182538,25,1.2020411171729801
1718.0,998.23,1007.7,2.697630997745985,1.0,2.6104290835033237,0.0,25,0.5008991914547263
1719.0,998.23,1007.7,2.6104290835033237,0.0,2.6104290835033237,0.0,25,0.5008991914547263
1746.0,997.87,1004.3,0.0,65.0,0.0,0.0,25,6.866262858455444
1747.0,997.87,1004.3,0.0,64.0,0.0,0.0,25,6.866262858455444
1748.0,997.87,1004.3,0.0,63.0,0.0,0.0,25,6.866262858455444
1749.0,997.87,1004.3,0.0,62.0,0.0,0.0,25,6.866262858455444
1750.0,997.87,1004.3,0.0,61.0,0.0,0.0,25,6.866262858455444
1751.0,997.87,1004.3,0.0,60.0,0.0,0.0,25,6.866262858455444
1752.0,997.87,1004.3,0.0,59.0,0.0,0.0,25,6.866262858455444
1753.0,997.87,1004.3,0.0,58.0,0.0,0.0,25,6.866262858455444
1754.0,997.87,1004.3,0.0,57.0,0.0,0.0,25,6.866262858455444
1755.0,997.87,1004.3,0.0,56.0,0.0,0.0,25,6.866262858455444
1756.0,997.87,1004.3,0.0,55.0,0.0,0.0,25,6.866262858455444
1757.0,997.87,1004.3,0.0,54.0,0.0,0.0,25,6.866262858455444
1758.0,997.87,1004.3,0.0,53.0,0.0,0.0,25,6.866262858455444
1759.0,997.87,1004.3,0.0,52.0,0.0,0.0,25,6.866262858455444
1760.0,997.87,1004.3,0.0,51.0,0.0,0.0,25,6.866262858455444
1761.0,997.87,1004.3,0.0,50.0,0.0,0.0,25,6.866262858455444
