t,x_t,y_t,v_t,t_to_goal,v_at_goal,d_to_goal,psi_t
476.0,1051.7,985.57,7.926808752581332,80.0,2.9206112373953506,32.72371982568446,3.1199343334979024
477.0,1050.3,985.61,7.905842965806997,79.0,2.9206112373953506,31.323148513683442,3.118979009954641
478.0,1049.5,985.64,7.863858149788817,78.0,2.9206112373953506,30.522586211298474,3.1180477738495123
479.0,1048.8,985.66,7.801908099945807,77.0,2.9206112373953506,29.822300555297964,3.1171440185329535
480.0,1048.0,985.69,7.721938228191157,76.0,2.9206112373953506,29.021738252913,3.1162709015110552
481.0,1047.3,985.64,7.624947737525813,75.0,2.9206112373953506,28.319954810532032,3.115431310984495
482.0,1046.6,985.67,7.512991681081513,74.0,2.9206112373953506,27.619312248307853,3.11462783803208
483.0,1045.9,985.71,7.390012855198561,73.0,2.9206112373953506,26.918170322589702,3.11386275492587
484.0,1045.2,985.73,7.257068071886882,72.0,2.9206112373953506,26.217884666589192,3.1131379998463022
485.0,1044.5,985.75,7.115099718204938,71.0,2.9206112373953506,25.517599010588683,3.1124551680311483
486.0,1043.8,985.77,6.966166018693497,70.0,2.9206112373953506,24.817313354588183,3.1118155091976516
487.0,1043.1,985.79,6.812237591276452,69.0,2.9206112373953506,24.117027698587677,3.111219930868902
488.0,1042.4,985.81,6.655313967049187,68.0,2.9206112373953506,23.416742042587398,3.110669007092397
489.0,1041.7,985.83,6.4944285352908455,67.0,2.9206112373953506,22.716456386586906,3.1101629919006797
490.0,1041.1,985.86,6.3335156903571335,66.0,2.9206112373953506,22.1157068547517,3.109701836780435
491.0,1040.4,985.88,6.172607390722336,65.0,2.9206112373953506,21.415421198751407,3.109285211368054
492.0,1039.8,985.91,6.013702769508983,64.0,2.9206112373953506,20.814671666916304,3.1089125265633664
493.0,1039.1,985.93,5.858800730524978,63.0,2.9206112373953506,20.1143860109158,3.1085829592726646
494.0,1038.5,985.96,5.70986304564304,62.0,2.9206112373953506,19.5136364790808,3.108295478033771
495.0,1037.8,985.98,5.568923235240363,61.0,2.9206112373953506,18.813350823080302,3.108048868826156
496.0,1037.8,985.98,5.436941971365888,60.0,2.9206112373953506,18.813350823080302,3.107841760448287
497.0,1037.2,985.99,5.315954194686031,59.0,2.9206112373953506,18.2132674955333,3.1076726489291793
498.0,1036.6,986.01,5.2069586132405545,58.0,2.9206112373953506,17.612934254741003,3.1075399205110825
499.0,1036.0,986.03,5.108877176053463,57.0,2.9206112373953506,17.012601013949002,3.1074418728456696
500.0,1035.3,986.05,5.022825599202107,56.0,2.9206112373953506,16.312315357948506,3.1073767340981178
501.0,1034.7,986.07,4.947726750741193,55.0,2.9206112373953506,15.711982117156406,3.1073426797515222
502.0,1034.7,986.07,4.882620710233388,54.0,2.9206112373953506,15.711982117156406,3.1073378469379023
503.0,1034.1,986.09,4.823472711646662,53.0,2.9206112373953506,15.111648876364105,3.107360346193652
504.0,1033.5,986.11,4.770322106524883,52.0,2.9206112373953506,14.511315635572105,3.107408270562506
505.0,1032.9,986.13,4.720134849768595,51.0,2.9206112373953506,13.910982394780007,3.107479701996642
