t,x_t,y_t,v_t,t_to_goal,v_at_goal,d_to_goal,psi_t
2262.0,1051.7,985.57,6.7642641137081565,226.0,2.1941752436849704,32.72371982568446,3.11150690528857
2263.0,1051.0,985.59,6.745322675750955,225.0,2.1941752436849704,32.023434169683945,3.1114586823759547
2264.0,1050.3,985.61,6.710387842740537,224.0,2.1941752436849704,31.323148513683442,3.1114099713896084
2265.0,1049.5,985.64,6.6594330839794456,223.0,2.1941752436849704,30.522586211298474,3.1113607634350897
2266.0,1048.8,985.66,6.592512722778773,222.0,2.1941752436849704,29.822300555297964,3.1113110493380636
2267.0,1048.0,985.69,6.512571611890345,221.0,2.1941752436849704,29.021738252913,3.1112608196327587
2268.0,1047.3,985.64,6.421608054062472,220.0,2.1941752436849704,28.319954810532032,3.1112100645489904
2269.0,1047.3,985.64,6.320649729260434,219.0,2.1941752436849704,28.319954810532032,3.1111587739980737
2270.0,1046.6,985.67,6.212695791683348,218.0,2.1941752436849704,27.619312248307853,3.111106937557934
2271.0,1045.9,985.71,6.097716703816272,217.0,2.1941752436849704,26.918170322589702,3.1110545444572586
2272.0,1045.2,985.73,5.976741336213237,216.0,2.1941752436849704,26.217884666589192,3.111001583559536
2273.0,1044.5,985.75,5.851738374192751,215.0,2.1941752436849704,25.517599010588683,3.110948043344634
2274.0,1043.8,985.77,5.723706578782669,214.0,2.1941752436849704,24.817313354588183,3.11089391189127
2275.0,1043.1,985.79,5.59167685046266,213.0,2.1941752436849704,24.117027698587677,3.1108391768561208
2276.0,1043.1,985.79,5.45861676617804,212.0,2.1941752436849704,24.117027698587677,3.110783825453247
2277.0,1042.4,985.81,5.322558125563309,211.0,2.1941752436849704,23.416742042587398,3.1107278444328004
2278.0,1041.7,985.83,5.186468548058496,210.0,2.1941752436849704,22.716456386586906,3.1106712200547126
2279.0,1041.1,985.86,5.0493489679363615,209.0,2.1941752436849704,22.1157068547517,3.110613938065696
2280.0,1040.4,985.88,4.913259814013502,208.0,2.1941752436849704,21.415421198751407,3.1105559836723784
2281.0,1040.4,985.88,4.7761412248801856,207.0,2.1941752436849704,21.415421198751407,3.1104973415094626
2282.0,1039.8,985.91,4.641052143641568,206.0,2.1941752436849704,20.814671666916304,3.1104379956133488
2283.0,1039.1,985.93,4.5059338654711745,205.0,2.1941752436849704,20.1143860109158,3.1103779293860954
2284.0,1039.1,985.93,4.371816098602502,204.0,2.1941752436849704,20.1143860109158,3.1103171255616844
2285.0,1038.5,985.96,4.238727403360589,203.0,2.1941752436849704,19.5136364790808,3.110255566168843
2286.0,1037.8,985.98,4.10763825086874,202.0,2.1941752436849704,18.813350823080302,3.1101932324887778
2287.0,1037.8,985.98,3.977549119746983,201.0,2.1941752436849704,18.813350823080302,3.1101301050159114
2288.0,1037.2,985.99,3.8504869821880976,200.0,2.1941752436849704,18.2132674955333,3.1100661634073443
2289.0,1036.6,986.01,3.725424136927231,199.0,2.1941752436849704,17.612934254741003,3.1100013864363842
2290.0,1036.6,986.01,3.6033602373340363,198.0,2.1941752436849704,17.612934254741003,3.109935751938711
2291.0,1036.0,986.03,3.4842953376543733,197.0,2.1941752436849704,17.012601013949002,3.1098692367528384
2292.0,1036.0,986.03,3.3682566707423,196.0,2.1941752436849704,17.012601013949002,3.1098018166609567
2293.0,1035.3,986.05,3.256216516142622,195.0,2.1941752436849704,16.312315357948506,3.109733466321021
2294.0,1035.3,986.05,3.1481748680783284,194.0,2.1941752436849704,16.312315357948506,3.1096641591945855
2295.0,1034.7,986.07,3.0441591614105863,193.0,2.1941752436849704,15.711982117156406,3.1095938674696577
2296.0,1034.1,986.09,2.9441421501007725,192.0,2.1941752436849704,15.111648876364105,3.1095225619754565
2297.0,1034.1,986.09,2.849123373952065,191.0,2.1941752436849704,15.111648876364105,3.1094502120919003
2298.0,1034.1,986.09,2.7571035526436067,190.0,2.1941752436849704,15.111648876364105,3.1093767856512144
2299.0,1033.5,986.11,2.6700818339519112,189.0,2.1941752436849704,14.511315635572105,3.1093022488286968
2300.0,1033.5,986.11,2.587058561378153,188.0,2.1941752436849704,14.511315635572105,3.109226566027574
